ID	Image	Sent	Received	Height	Width	Country	City	Sender	Description	Tags
19300000LV	1930 Kuldiga Ventas mala.jpg		01.01.1930	85	134	LV	Kuldiga	bought		
19300000LV2	1930 Ventas tilts.jpg		01.01.1930	87	136	LV	Kuldiga	bought		
19300000LV3	1930 city view.jpg		01.01.1930	85	134	LV	Kuldiga	bought		
19300000LV4	1930 Venta bridge.jpg		01.01.1930	87	138	LV	Kuldiga	bought		
19300000LV5	1930 Edoles castle.jpg		01.01.1930	88	135	LV	Edole	bought	Замок в Эдоле	castle
19300000LV6	1930 Edoles castle 2.jpg		01.01.1930	127	88	LV	Edole	bought	Замок в Эдоле	castle
19730120LV	1973_01_20 14 Senie arhitekturas pieminekli Lenina iela.jpg	20.01.1973		102	140	LV	Kuldiga	bought	Кулдига. Древние памятники архитектуры на улице Ленина.	
19730310LV	1973_03_10 Aleksa upite.jpg	10.03.1973		140	102	LV	Kuldiga	bought	Кулдига. Речка Алекша.	
19730225LV	1973_02_25 Aleksa upite2.jpg	25.02.1973		140	102	LV	Kuldiga	bought	Кулдига. Речка Алекша.	
19720215LV	1972_02_15 Cels us Rendu.jpg	15.02.1972		102	140	LV	Kuldiga	bought	Кулдига. Дорога на Ренду.	
19730301LV	1973_03_01 Dzirnavu aizsplosta udenskritums.jpg	01.03.1973		140	102	LV	Kuldiga	bought	Кулдига. Водопад у мельничной плотины.	
19720305LV	1972_03_05 Eka - arhitekturas piemineklis Padomju iela.jpg	05.03.1972		102	140	LV	Kuldiga	bought	Кулдига. Здание - памятник архитектуры на улице Падомью.	
19730210LV	1973_02_10 K Marksa iela.jpg	10.02.1973		102	140	LV	Kuldiga	bought	Кулдига. Улица К. Маркса.	
19730115LV	1973_01_15 Kuldiga.jpg	15.01.1973		102	140	LV	Kuldiga	bought	Кулдига.	
19730130LV	1973_01_30 LKP Kuldigas rajona komitejas eka, celta 1860 gada italu renesanses stila.jpg	30.01.1973		102	140	LV	Kuldiga	bought	Кулдига. Здание Кулдигского районого КПЛ. Построено в 1860 году в стиле итальянского возрождения.	
19730320LV	1973_03_20 Laukums Padomju iela.jpg	20.03.1973		102	140	LV	Kuldiga	bought	Кулдига. Площадь на улице Падомью.	
19730220LV	1973_02_20 Lenina iela.jpg	20.02.1973		140	102	LV	Kuldiga	bought	Кулдига. Улица Ленина.	
19730121LV	1973_01_21 Tilts par Ventu.jpg	21.01.1973		102	140	LV	Kuldiga	bought	Кулдига. Мост через Венту.	
19730125LV	1973_01_25 Ventas rumba.jpg	25.01.1973		102	140	LV	Kuldiga	bought	Кулдига. Водопад на реке Венте.	
19730315LV	1973_03_15 Ventas rumba2.jpg	15.03.1973		140	102	LV	Kuldiga	bought	Кулдига. Водопад на реке Венте.	
19500000LV	2019_01_19 LV_1.jpg			90	120	LV		LudmilaViktor	Отдали просто так. Открытка 50-х годов	
19500000LV2	2019_01_19 LV_2.jpg			120	90	LV		LudmilaViktor	Отдали просто так. Открытка 50-х годов	
19500000LV3	2019_01_19 LV_3.jpg			118	90	LV		LudmilaViktor	Отдали просто так. Открытка 50-х годов	
19551208LV	2019_01_19 LV_4.jpg	08.12.1955		120	90	LV		LudmilaViktor	Отдали просто так. Дата на обороте 08.12.1955	
19500000LV4	2019_01_19 LV_5.jpg			118	90	LV		LudmilaViktor	Отдали просто так. Открытка 50-х годов	
19531101LV	2019_01_19 LV_6.jpg	01.11.1953		120	89	LV		LudmilaViktor	Отдали просто так. Дата на обороте 01.11.1953	
20180812SE	2018_08_12 SE 1.jpg		12.08.2018	104	148	SE		LudmilaViktor	Эта открытка была когда-то вложена в коробку с благотворительностью. Отдала Людмила, которая хранила её все эти годы.	
20180812SE2	2018_08_12 SE 2.jpg		12.08.2018	104	144	SE		LudmilaViktor	Эта открытка была когда-то вложена в коробку с благотворительностью. Отдала Людмила, которая хранила её все эти годы.	
20180812SE3	2018_08_12 SE 3.jpg		12.08.2018	104	144	SE		LudmilaViktor	Эта открытка была когда-то вложена в коробку с благотворительностью. Отдала Людмила, которая хранила её все эти годы.	
20190518LV	2019_05_18 LV Kuldiga Photo.jpg		18.05.2019	170	123	LV	Kuldiga	father	Папа подарил.|Фотоколлаж с видами Кулдиги	
20190518LV2	2019_05_18 LV Easter.jpg		18.05.2019	105	150	LV	Kuldiga	father	Папа подарил.|Современная открытка	
20190518LV3	2019_05_18 LV Ratslaukums.jpg		18.05.2019	104	141	LV	Kuldiga	father	Папа подарил|Кулдига. Здание Кулдигского районого КПЛ. Построено в 1860 году в стиле итальянского возрождения.	
19860000LV	1986 Kuldiga.jpg		01.01.1986	147	105	LV	Kuldiga	father	Две такие открытки нашлись среди плёнок фотографий. Откуда они и кто их туда положил? 1986 года выпуска.|Еще одну папа нашел позже и передал мне 06.04.2019	
